combo_upcharge,id,establishment,name,attribute_type,price,sorting,updated_by,variable_pricing_by,tax_class,created_by,category
1.0000,10965,/enterprise/Establishment/3/,Abruzzi Whole,2,1.0,1,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10966,/enterprise/Establishment/3/,American Whole,2,0.0,2,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10967,/enterprise/Establishment/3/,Audiablo Whole,2,5.0,3,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10968,/enterprise/Establishment/3/,Audie Whole,2,5.0,4,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10969,/enterprise/Establishment/3/,Bada Bing Whole,2,5.0,5,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10970,/enterprise/Establishment/3/,Bada Boom Whole,2,5.0,6,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,10971,/enterprise/Establishment/3/,"Big ""T"" Diablo Whole",2,3.0,8,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,10972,/enterprise/Establishment/3/,"Big ""T"" Whole",2,3.0,7,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10973,/enterprise/Establishment/3/,Muffaletta Diablo Whole,2,0.0,105,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10974,/enterprise/Establishment/3/,Bologna & Cheese Whole,2,0.0,9,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10975,/enterprise/Establishment/3/,Buffalo Chicken Cheesesteak Whole,2,1.0,10,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10976,/enterprise/Establishment/3/,Buffalo Cutlet Whole,2,5.0,11,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10977,/enterprise/Establishment/3/,Cheese Deluxe Whole,2,0.0,12,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10978,/enterprise/Establishment/3/,Chicken Cheesesteak Whole,2,1.0,13,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10979,/enterprise/Establishment/3/,Chicken Diablo Whole,2,5.0,16,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10980,/enterprise/Establishment/3/,Chicken Parm Whole,2,5.0,17,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10981,/enterprise/Establishment/3/,Chicken Suprimo Whole,2,5.0,19,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10982,/enterprise/Establishment/3/,Corned Beef Schwartzie Whole,2,5.0,21,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10983,/enterprise/Establishment/3/,Corned Beef & Swiss Whole,2,0.0,20,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,10984,/enterprise/Establishment/3/,Crusher Whole,2,5.0,22,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10985,/enterprise/Establishment/3/,Custom Cheese Whole,2,0.0,23,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10986,/enterprise/Establishment/3/,Custom Whole,2,1.0,24,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10987,/enterprise/Establishment/3/,Gianna Whole,2,1.0,26,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10988,/enterprise/Establishment/3/,Ham & Cheese Diablo Whole,2,0.0,28,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10989,/enterprise/Establishment/3/,Ham & Cheese Whole,2,0.0,27,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10990,/enterprise/Establishment/3/,Healthy Cheese Whole,2,0.0,30,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10991,/enterprise/Establishment/3/,Healthy Ham & Cheese Whole,2,1.0,31,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10992,/enterprise/Establishment/3/,Italian Diablo Whole,2,1.0,33,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10993,/enterprise/Establishment/3/,Italian Tuna Whole,2,0.0,34,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10994,/enterprise/Establishment/3/,Italian Whole,2,1.0,32,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10995,/enterprise/Establishment/3/,Knuckle Whole,2,0.0,35,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,10996,/enterprise/Establishment/3/,Milano Whole,2,0.0,101,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10997,/enterprise/Establishment/3/,Mild Italian Whole,2,1.0,102,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10998,/enterprise/Establishment/3/,Mild Sharp Italian Whole,2,1.0,103,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,10999,/enterprise/Establishment/3/,Napolitano Whole,2,1.0,106,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11000,/enterprise/Establishment/3/,Nellie Whole,2,1.0,107,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11001,/enterprise/Establishment/3/,New Yorker Whole,2,1.0,108,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
0.0000,11002,/enterprise/Establishment/3/,Nonna's Veggie Whole,2,0.0,0,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11003,/enterprise/Establishment/3/,Old Fashioned Meatball Whole,2,1.0,110,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11004,/enterprise/Establishment/3/,Old Italian Whole,2,1.0,111,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11005,/enterprise/Establishment/3/,Old World Style Meatball Whole,2,1.0,112,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11006,/enterprise/Establishment/3/,Pal Joey Whole,2,1.0,113,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11007,/enterprise/Establishment/3/,Pescara Whole,2,1.0,114,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11008,/enterprise/Establishment/3/,Philly Cheesesteak Whole,2,3.0,115,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11009,/enterprise/Establishment/3/,Pizza Steak Whole,2,3.0,116,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11010,/enterprise/Establishment/3/,Pork Diablo Whole,2,1.0,117,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11011,/enterprise/Establishment/3/,"""R"" Special Whole",2,3.0,118,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11012,/enterprise/Establishment/3/,Roast Beef & Cheese Whole,2,3.0,119,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11013,/enterprise/Establishment/3/,Roast Beef Diablo Whole,2,3.0,120,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
5.0000,11014,/enterprise/Establishment/3/,Roast Beef Schwartzie Whole,2,5.0,121,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11015,/enterprise/Establishment/3/,Sharp Italian Whole,2,1.0,122,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11016,/enterprise/Establishment/3/,Sicilian Whole,2,1.0,123,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11017,/enterprise/Establishment/3/,"Slim ""T"" Whole",2,1.0,124,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11018,/enterprise/Establishment/3/,Soprano Whole,2,3.0,125,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11019,/enterprise/Establishment/3/,Sopressata & Sharp Whole,2,1.0,126,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
3.0000,11020,/enterprise/Establishment/3/,Sulmona Whole,2,3.0,127,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
1.0000,11021,/enterprise/Establishment/3/,Suprimo Whole,2,1.0,128,/enterprise/User/1586/,0,0,/enterprise/User/34/,/products/ProductCategory/596/
